diseases	frequency
Alcohol-related disorders|p317	0.02258384740835283
Alcoholism|p317.1	0.01694168414015255
Tobacco use disorder|p318	0.03361999979740886
Meningitis|p320	0.0015093039981361614
Encephalitis|p323	0.0014358647096362476
Acute (transverse) myelitis|p323.2	0.0002836275969651847
Other CNS infection and poliomyelitis|p324	0.0017118951388255792
Jakob-Creutzfeldt disease|p324.1	8.61012347930025e-05
Phlebitis and thrombophlebitis of intracranial venous sinuses|p325	0.00023044742253421259
Sleep disorders|p327	0.005940985200717172
Hypersomnia|p327.1	0.00042290900618915933
Sleep apnea|p327.3	0.02232301131471521
Insomnia|p327.4	0.0013573606426190983
Parasomnia|p327.5	0.00030135432177550873
Circadian rhythm sleep disorder|p327.6	0.0002886923754824202
Other headache syndromes|p339	0.03378460509921901
Migraine|p340	0.015280436786499327
Abnormal movement|p350	0.007863068648008023
Abnormal involuntary movements|p350.1	0.005515543805269396
Abnormality of gait|p350.2	0.0005849819187406935
Lack of coordination|p350.3	0.001960069286170116
Abnormal reflex|p350.5	7.850406701714934e-05
Disturbances of sensation of smell and taste|p350.6	0.0005267369657924859
Other peripheral nerve disorders|p351	0.045919814426515125
Hereditary and idiopathic peripheral neuropathy|p356	0.0007495872205508453
Inflammatory and toxic neuropathy|p357	0.008255588983093769
Myoneural disorders|p358	0.0009445811934644097
Myasthenia gravis|p358.1	0.0008103645627576706
Muscular dystrophies and other myopathies|p359	0.001314310025222597
Muscular dystrophies|p359.1	0.0005216721872752505
Myopathy|p359.2	0.0008584799586714073
Other retinal disorders|p362	0.02557713151203898
Glaucoma|p365	0.02965174582915489
Cataract|p366	0.12127358920594403
Disorders of refraction and accommodation  blindness and low vision|p367	0.022647157139818276
Myopia|p367.1	0.008475906848593511
Astigmatism|p367.2	0.008399935170834979
Presbyopia|p367.4	0.0002583037043790075
Hypermetropia|p367.8	0.0017600105347393158
Blindness and low vision|p367.9	0.003947994854185026
Visual disturbances|p368	0.01733167208597968
Amblyopia|p368.1	0.0036744968142543126
Diplopia and disorders of binocular vision|p368.2	0.003742871324236991
Anisometropia|p368.3	0.0013345691392915389
Visual field defects|p368.4	0.002248761661652536
Color vision deficiencies|p368.5	0.00022538264401697714
Subjective visual disturbances|p368.9	0.0036643672572198418
Psychophysical visual disturbances|p368.91	0.0015118363873947791
Infection of the eye|p369	0.002884391365565584
Eye infection viral|p369.2	0.000534334133568339
Conjunctivitis infectious|p369.5	0.001397878870756982
Keratitis|p370	0.0011497047234124453
Corneal ulcer|p370.1	0.0006508240394647542
Inflammation of the eye|p371	0.011119721234590412
Uveitis noninfectious or NOS|p371.1	0.0018385146017564653
Conjunctivitis noninfectious|p371.2	0.00013928140922397464
Inflammation of eyelids|p371.3	0.008693692324834634
Noninfectious dermatoses of eyelid|p371.33	6.584212072406074e-05
Chronic inflammatory disorders of orbit|p371.9	5.8244952948207574e-05
Disorders of conjunctiva|p372	0.002702059338945108
Other disorders of eyelids|p374	0.017339269253755535
Ectropion or entropion|p374.1	0.0054699607986142765
Lagophthalmos|p374.2	0.00032667821436168596
Ptosis of eyelid|p374.3	0.008131501909421501
Disorders of lacrimal system|p375	0.0109753750468492
Epiphora|p375.2	0.003841634505323082
Disorders of the orbit|p376	0.00032667821436168596
Disorders of optic nerve and visual pathways|p377	0.0019347453935839385
Optic atrophy|p377.1	0.00033680777139615686
Optic neuritis/neuropathy|p377.3	0.0007875730594301111
Strabismus and other disorders of binocular eye movements|p378	0.006308181643216742
Strabismus (not specified as paralytic)|p378.1	0.002737512788565756
Nystagmus and other irregular eye movements|p378.2	0.0013092452467053615
Paralytic strabismus|p378.5	0.001440929488153483
Other disorders of eye|p379	0.009607884847195632
Scleritis and episcleritis|p379.1	0.0001975263621721822
Disorders of vitreous body|p379.2	0.004462069873684423
Aphakia and other disorders of lens|p379.3	0.0014485266559293361
Anomalies of pupillary function|p379.4	0.0006938746568612554
Disorders of iris and ciliary body|p379.5	0.0018385146017564653
Pain swelling or discharge of eye|p379.9	0.0008382208446024655
Disorders of external ear|p380	0.0021322717557561207
Otitis externa|p380.1	0.002137336534273356
Impacted cerumen|p380.4	0.001440929488153483
Otitis media and Eustachian tube disorders|p381	0.007341396460732772
Otitis media|p381.1	0.005930855643682701
Suppurative and unspecified otitis media|p381.11	0.0029578306540654978
Eustachian tube disorders|p381.2	0.0007774435023956402
Mastoiditis & related conditions|p381.3	0.0003570668854650986
Otorrhea|p381.9	0.0008711419049644959
Otalgia|p382	0.0012459355152399185
Otosclerosis|p383	0.0010180204819643236
Other disorders of tympanic membrane|p384	0.004150585994874444
Myringitis|p384.1	8.356884553438479e-05
Perforation of tympanic membrane|p384.4	0.003109774009582561
Other disorders of middle ear and mastoid|p385	0.002600763768600399
Cholesteatoma|p385.3	0.0018790328298943487
Tympanosclerosis and middle ear disease related to otitis media|p385.5	0.0007597167775853162
Vertiginous syndromes and other disorders of vestibular system|p386	0.009486330162781982
Meniere's disease|p386.1	0.0027071241174623432
Peripheral or central vertigo|p386.2	0.003527618237254485
Central origin vertigo|p386.21	7.34392884999139e-05
Labyrinthitis|p386.3	0.00321106957992727
Dizziness and giddiness (Light-headedness and vertigo)|p386.9	0.025883550612331722
Other disorders of ear|p388	0.00016967008032738729
Hearing loss|p389	0.03134084946465291
Sensorineural hearing loss|p389.1	0.003897347069012672
Conductive hearing loss|p389.2	0.0016561825751359894
Degenerative and vascular disorders of ear|p389.3	0.0010129557034470882
Tinnitus|p389.4	0.003507359123185543
Rheumatic disease of the heart valves|p394	0.01925122314401191
Heart valve disorders|p395	0.03247789224177227
Nonrheumatic mitral valve disorders|p395.1	0.014371309042655565
Nonrheumatic aortic valve disorders|p395.2	0.016349105053636005
Hypertension|p401	0.3352706111161759
Essential hypertension|p401.1	0.33479198954629713
Elevated blood pressure reading without diagnosis of hypertension|p402	0.007174258769664003
Ischemic Heart Disease|p411	0.1277438437617123
Pulmonary heart disease|p415	0.006153705898441061
Acute pulmonary heart disease|p415.1	0.00022031786549974168
Pulmonary embolism and infarction acute|p415.11	0.00021272069772388852
Chronic pulmonary heart disease|p415.2	0.005738394060027755
Primary pulmonary hypertension|p415.21	0.0017068303603083438
Cardiomegaly|p416	0.020193271948217704
Nonspecific chest pain|p418	0.00020512352994803536
Precordial pain|p418.1	0.019210704915874028
Carditis|p420	0.01041065224217745
Myocarditis|p420.1	0.0005951114757751643
Pericarditis|p420.2	0.007240100890388063
Acute pericarditis|p420.21	0.0008128969520162883
Chronic pericarditis|p420.22	0.000453297677292572
Endocarditis|p420.3	0.002919844815186232
Cardiomyopathy|p425	0.006870372058629876
Primary/intrinsic cardiomyopathies|p425.1	0.0066905724212680175
Hypertrophic obstructive cardiomyopathy|p425.11	0.0007267957172232858
Other hypertrophic cardiomyopathy|p425.12	0.0010813302134297666
Secondary/extrinsic cardiomyopathies|p425.2	9.623079182747339e-05
Cardiac dysrhythmias|p427	0.10816087762482146
Congestive heart failure  nonhypertensive|p428	0.028783136313449014
Congestive heart failure (CHF) NOS|p428.1	0.013411533513639448
Heart failure NOS|p428.2	0.019567771801339128
Heart failure with reduced EF Systolic or combined heart failure|p428.3	0.00031148387880997963
Heart failure with preserved EF Diastolic heart failure|p428.4	7.34392884999139e-05
Ill-defined descriptions and complications of heart disease|p429	0.003175616130306622
Heart transplant/surgery|p429.1	0.00023044742253421259
Abnormal function study of cardiovascular system|p429.2	0.003175616130306622
Cerebrovascular disease|p433	0.043232949423121725
Occlusion of cerebral arteries|p433.2	0.01612119002036041
Cerebral artery occlusion with cerebral infarction|p433.21	0.015860353926722786
Cerebral ischemia|p433.3	0.01911194173478794
Transient cerebral ischemia|p433.31	0.009833267491212608
Atherosclerosis|p440	0.0025450512049108092
Vascular insufficiency of intestine|p441	0.0036466405324095176
Other aneurysm|p442	0.010970310268331966
Aortic aneurysm|p442.1	0.008708886660386342
Abdominal aortic aneurysm|p442.11	0.005457298852321188
Peripheral vascular disease|p443	0.02016541566637291
Raynaud's syndrome|p443.1	0.006786803213095491
Peripheral vascular disease unspecified|p443.9	0.013586268372484072
Arterial embolism and thrombosis|p444	0.004097405820443472
Arterial embolism and thrombosis of lower extremity artery|p444.1	0.002580504654531457
Polyarteritis nodosa and allied conditions|p446	0.00439876014221898
Giant cell arteritis|p446.5	0.0023855106816178927
Other disorders of arteries and arterioles|p447	0.006295519696923654
Stricture of artery|p447.1	0.003917606183081614
Noninfectious disorders of lymphatic channels|p450	0.005163541698321532
Other disorders of circulatory system|p459	0.08753456711338013
Circulatory disease NEC|p459.9	0.08681283617467409
Acute sinusitis|p464	0.0007850406701714934
Acute upper respiratory infections of multiple or unspecified sites|p465	0.009848461826764316
Acute pharyngitis|p465.2	0.003818843001995523
Acute laryngitis and tracheitis|p465.4	0.0006482916502061365
Pneumonia|p480	0.06094194750863545
Bacterial pneumonia|p480.1	0.040981655372210574
Pneumococcal pneumonia|p480.11	0.03861640380466162
Chronic airway obstruction|p496	0.05739660254657064
Cystic fibrosis|p499	8.103645627576706e-05
Pleurisy  pleural effusion|p507	0.03928242217967808
Other diseases of lung|p510	0.007384447078129274
Lung transplant|p510.2	0.00017979963736185816
Other symptoms of respiratory system|p512	0.046454148560083466
Shortness of breath|p512.7	0.033267997690460994
Cough|p512.8	0.016506113187670302
Respiratory abnormalities|p513	0.0026615411108072244
Hypoventilation|p513.3	0.0007394576635163744
Hyperventilation|p513.4	0.001005358535671235
Disorders of diaphragm|p513.8	0.0009496459719816453
Abnormal findings examination of lungs|p514	0.014444748331155478
Abnormal results of function study of pulmonary system|p514.1	0.00020512352994803536
Abnormal sputum|p516	0.00906595354585144
Hemoptysis|p516.1	0.008650641707438133
Other diseases of respiratory system not elsewhere classified|p519	0.049447432663769615
Other diseases of respiratory system NEC|p519.8	0.048001438397098896
Disorders of tooth development|p520	0.006591809240181927
Disturbances in tooth eruption|p520.2	0.006333505535802919
Diseases of hard tissues of teeth|p521	0.013193748037398324
Dental caries|p521.1	0.01292024999746761
Diseases of pulp and periapical tissues|p522	0.0068779692264057295
Pulpitis and necrosis of tooth pulp|p522.1	0.00021778547624112397
Periapical abscess|p522.5	0.004778618531011639
Gingival and periodontal diseases|p523	0.006845048166043699
Gingivitis|p523.1	0.00044823289877533656
Periodontitis (acute or chronic)|p523.3	0.004601351282908398
Acute periodontitis|p523.31	0.0005267369657924859
Chronic periodontitis|p523.32	0.004074614317115912
Other diseases of the teeth and supporting structures|p525	0.010529674537332482
Atrophy of edentulous alveolar ridge|p525.2	0.00026083609363762524
Diseases of the jaws|p526	0.000698939435378491
Cysts of the jaws|p526.1	0.000698939435378491
Diseases of the salivary glands|p527	0.0029958164929447637
Hypertrophy of salivary gland|p527.1	0.00025323892586177205
Sialoadenitis|p527.2	0.0015574193940498982
Disturbance of salivary secretion|p527.7	0.00044316812025810114
Other specified diseases of the salivary glands|p527.8	0.0005039454624649264
Diseases of the oral soft tissues excluding lesions specific for gingiva and tongue|p528	0.007858003869490787
Stomatitis and mucositis|p528.1	0.002367783956807569
Stomatitis and mucositis (ulcerative)|p528.11	0.0020816239705837665
Oral aphthae|p528.12	0.0003038867110341265
Cellulitis and abscess of oral soft tissues|p528.3	0.0008052997842404352
Cysts of oral soft tissues|p528.4	0.0004305061739650125
Cyst of the salivary gland|p528.41	0.00033427538213753915
Diseases of lips|p528.5	0.002702059338945108
Leukoplakia of oral mucosa|p528.6	6.330973146544301e-05
Sialolithiasis|p528.7	0.0010028261464126173
Diseases and other conditions of the tongue|p529	0.005236980986821446
Glossitis|p529.1	0.0013117776359639793
Diseases of esophagus|p530	0.15962915691696802
Esophagitis GERD and related diseases|p530.1	0.1512216245783572
Peptic ulcer (excl. esophageal)|p531	0.030971120632894724
Hemorrhage from gastrointestinal ulcer|p531.1	0.002745109956341609
Gastric ulcer|p531.2	0.018468714863099037
Duodenal ulcer|p531.3	0.011264067422331622
Peptic ulcer site unspecified|p531.4	0.0016891036354980196
Gastrojejunal ulcer|p531.5	0.0001975263621721822
Gastritis and duodenitis|p535	0.12467965275878486
Bariatric surgery|p539	0.00016713769106876957
Appendiceal conditions|p540	0.004760891806201315
Appendicitis|p540.1	0.0038011162771851986
Acute appendicitis|p540.11	0.0019626016754287334
Abdominal hernia|p550	0.14331297292369405
Diaphragmatic hernia|p550.2	0.11668743225858733
Diarrhea|p561.1	0.00012661946293088602
Constipation|p563	0.06368705746497706
Abnormal findings on exam of gastrointestinal tract/ abdominal area|p564.8	0.00952178361240263
Anal and rectal conditions|p565	0.0635224521631669
Chronic liver disease and cirrhosis|p571	0.0246654713789366
Other chronic nonalcoholic liver disease|p571.5	0.019613354807994247
Abnormal results of function study of liver|p573.7	0.02034268291447615
Cholelithiasis and cholecystitis|p574	0.061947306044306684
Cholelithiasis|p574.1	0.0546337658654187
Diseases of pancreas|p577	0.013573606426190982
Acute pancreatitis|p577.1	0.008536684190800337
Chronic pancreatitis|p577.2	0.0023247333394110677
Cyst and pseudocyst of pancreas|p577.3	0.002203178654997417
Gastrointestinal hemorrhage|p578	0.08531872651208963
Renal failure|p585	0.07658958073763435
Urinary calculus|p594	0.025863291498262782
Calculus of kidney|p594.1	0.014340920371552152
Calculus of lower urinary tract|p594.2	0.0038441668945817
Calculus of ureter|p594.3	0.009124198498799647
Renal colic|p594.8	0.006189159348061709
Hydronephrosis|p595	0.005201527537200798
Other disorders of bladder|p596	0.03988766321248772
Other disorders of urethra and urinary tract|p597	0.015566596772723129
Abnormal findings on examination of urine|p598	0.001106654106015944
Other nonspecific findings on examination of urine|p598.9	0.0010712006563952958
Other symptoms/disorders or the urinary system|p599	0.0471024402102896
Retention of urine|p599.2	0.04105002988219325
Abnormal findings on mammogram or breast exam|p611	0.005206592315718034
Lump or mass in breast|p611.3	0.005206592315718034
Breast conditions congenital or relating to hormones|p612	0.0028691970300138776
Hypertrophy of breast (Gynecomastia)|p612.2	0.0025729074867556043
Other nonmalignant breast conditions|p613	0.005905531751096525
Disorders secondary to childbirth surgery trauma|p617	0.004874849322839112
Complications following abortion or ectopic and molar pregnancies|p639	0.00012661946293088602
Late pregnancy and failed induction|p645	0.00045836245580980746
Multiple gestation|p651	0.0012915185218950376
Malposition and malpresentation of fetus or obstruction|p652	0.004545638719218809
Fetal distress and abnormal forces of labor|p661	0.006556355790561279
