FieldID	Field
x135_0_0	Number of self-reported non-cancer illnesses|x135_0_0
x136_0_0	Number of operations self-reported|x136_0_0
x137_0_0	Number of treatments/medications taken|x137_0_0
x146_0_0	Father's day of birth|x146_0_0
x189_0_0	Townsend deprivation index at recruitment|x189_0_0
x190_0_0	Reason lost to follow-up|x190_0_0
x191_0_0	Date lost to follow-up|x191_0_0
x200_0_0	Date of consenting to join UK Biobank|x200_0_0
x393_0_0	Program (tactus) version ID (compiler timestamp)|x393_0_0
x396_0_0	Number of columns displayed in round|x396_0_0
x397_0_0	Number of rows displayed in round|x397_0_0
x398_0_0	Number of correct matches in round|x398_0_0
x399_0_0	Number of incorrect matches in round|x399_0_0
x400_0_0	Time to complete round|x400_0_0
x401_0_0	Index for card A in round|x401_0_0
x402_0_0	Index for card B in round|x402_0_0
x403_0_0	Number of times snap-button pressed|x403_0_0
x404_0_0	Duration to first press of snap-button in each round|x404_0_0
x630_0_0	Touchscreen duration|x630_0_0
x670_0_0	Type of accommodation lived in|x670_0_0
x680_0_0	Own or rent accommodation lived in|x680_0_0
x699_0_0	Length of time at current address|x699_0_0
x709_0_0	Number in household|x709_0_0
x728_0_0	Number of vehicles in household|x728_0_0
x738_0_0	Average total household income before tax|x738_0_0
x757_0_0	Time employed in main current job|x757_0_0
x767_0_0	Length of working week for main job|x767_0_0
x777_0_0	Frequency of travelling from home to job workplace|x777_0_0
x796_0_0	Distance between home and job workplace|x796_0_0
x806_0_0	Job involves mainly walking or standing|x806_0_0
x816_0_0	Job involves heavy manual or physical work|x816_0_0
x826_0_0	Job involves shift work|x826_0_0
x845_0_0	Age completed full time education|x845_0_0
x864_0_0	Number of days/week walked 10+ minutes|x864_0_0
x874_0_0	Duration of walks|x874_0_0
x884_0_0	Number of days/week of moderate physical activity 10+ minutes|x884_0_0
x894_0_0	Duration of moderate activity|x894_0_0
x904_0_0	Number of days/week of vigorous physical activity 10+ minutes|x904_0_0
x914_0_0	Duration of vigorous activity|x914_0_0
x924_0_0	Usual walking pace|x924_0_0
x943_0_0	Frequency of stair climbing in last 4 weeks|x943_0_0
x971_0_0	Frequency of walking for pleasure in last 4 weeks|x971_0_0
x981_0_0	Duration walking for pleasure|x981_0_0
x991_0_0	Frequency of strenuous sports in last 4 weeks|x991_0_0
x1001_0_0	Duration of strenuous sports|x1001_0_0
x1011_0_0	Frequency of light DIY in last 4 weeks|x1011_0_0
x1021_0_0	Duration of light DIY|x1021_0_0
x1031_0_0	Frequency of friend/family visits|x1031_0_0
x1050_0_0	Time spend outdoors in summer|x1050_0_0
x1060_0_0	Time spent outdoors in winter|x1060_0_0
x1070_0_0	Time spent watching television (TV)|x1070_0_0
x1080_0_0	Time spent using computer|x1080_0_0
x1090_0_0	Time spent driving|x1090_0_0
x1100_0_0	Drive faster than motorway speed limit|x1100_0_0
x1110_0_0	Length of mobile phone use|x1110_0_0
x1120_0_0	Weekly usage of mobile phone in last 3 months|x1120_0_0
x1130_0_0	Hands-free device/speakerphone use with mobile phone in last 3 month|x1130_0_0
x1140_0_0	Difference in mobile phone use compared to two years previously|x1140_0_0
x1150_0_0	Usual side of head for mobile phone use|x1150_0_0
x1160_0_0	Sleep duration|x1160_0_0
x1170_0_0	Getting up in morning|x1170_0_0
x1180_0_0	Morning/evening person (chronotype)|x1180_0_0
x1190_0_0	Nap during day|x1190_0_0
x1200_0_0	Sleeplessness / insomnia|x1200_0_0
x1210_0_0	Snoring|x1210_0_0
x1220_0_0	Daytime dozing / sleeping (narcolepsy)|x1220_0_0
x1239_0_0	Current tobacco smoking|x1239_0_0
x1249_0_0	Past tobacco smoking|x1249_0_0
x1259_0_0	Smoking/smokers in household|x1259_0_0
x1269_0_0	Exposure to tobacco smoke at home|x1269_0_0
x1279_0_0	Exposure to tobacco smoke outside home|x1279_0_0
x1289_0_0	Cooked vegetable intake|x1289_0_0
x1299_0_0	Salad / raw vegetable intake|x1299_0_0
x1309_0_0	Fresh fruit intake|x1309_0_0
x1319_0_0	Dried fruit intake|x1319_0_0
x1329_0_0	Oily fish intake|x1329_0_0
x1339_0_0	Non-oily fish intake|x1339_0_0
x1349_0_0	Processed meat intake|x1349_0_0
x1359_0_0	Poultry intake|x1359_0_0
x1369_0_0	Beef intake|x1369_0_0
x1379_0_0	Lamb/mutton intake|x1379_0_0
x1389_0_0	Pork intake|x1389_0_0
x1408_0_0	Cheese intake|x1408_0_0
x1418_0_0	Milk type used|x1418_0_0
x1428_0_0	Spread type|x1428_0_0
x1438_0_0	Bread intake|x1438_0_0
x1448_0_0	Bread type|x1448_0_0
x1458_0_0	Cereal intake|x1458_0_0
x1468_0_0	Cereal type|x1468_0_0
x1478_0_0	Salt added to food|x1478_0_0
x1488_0_0	Tea intake|x1488_0_0
x1498_0_0	Coffee intake|x1498_0_0
x1508_0_0	Coffee type|x1508_0_0
x1518_0_0	Hot drink temperature|x1518_0_0
x1528_0_0	Water intake|x1528_0_0
x1538_0_0	Major dietary changes in the last 5 years|x1538_0_0
x1548_0_0	Variation in diet|x1548_0_0
x1558_0_0	Alcohol intake frequency.|x1558_0_0
x1568_0_0	Average weekly red wine intake|x1568_0_0
x1578_0_0	Average weekly champagne plus white wine intake|x1578_0_0
x1588_0_0	Average weekly beer plus cider intake|x1588_0_0
x1598_0_0	Average weekly spirits intake|x1598_0_0
x1608_0_0	Average weekly fortified wine intake|x1608_0_0
x1618_0_0	Alcohol usually taken with meals|x1618_0_0
x1628_0_0	Alcohol intake versus 10 years previously|x1628_0_0
x1647_0_0	Country of birth (UK/elsewhere)|x1647_0_0
x1677_0_0	Breastfed as a baby|x1677_0_0
x1687_0_0	Comparative body size at age 10|x1687_0_0
x1697_0_0	Comparative height size at age 10|x1697_0_0
x1707_0_0	Handedness (chirality/laterality)|x1707_0_0
x1717_0_0	Skin colour|x1717_0_0
x1727_0_0	Ease of skin tanning|x1727_0_0
x1737_0_0	Childhood sunburn occasions|x1737_0_0
x1747_0_0	Hair colour (natural before greying)|x1747_0_0
x1757_0_0	Facial ageing|x1757_0_0
x1767_0_0	Adopted as a child|x1767_0_0
x1777_0_0	Part of a multiple birth|x1777_0_0
x1787_0_0	Maternal smoking around birth|x1787_0_0
x1797_0_0	Father still alive|x1797_0_0
x1807_0_0	Father's age at death|x1807_0_0
x1835_0_0	Mother still alive|x1835_0_0
x1845_0_0	Mother's age|x1845_0_0
x1873_0_0	Number of full brothers|x1873_0_0
x1883_0_0	Number of full sisters|x1883_0_0
x1920_0_0	Mood swings|x1920_0_0
x1930_0_0	Miserableness|x1930_0_0
x1940_0_0	Irritability|x1940_0_0
x1950_0_0	Sensitivity / hurt feelings|x1950_0_0
x1960_0_0	Fed-up feelings|x1960_0_0
x1970_0_0	Nervous feelings|x1970_0_0
x1980_0_0	Worrier / anxious feelings|x1980_0_0
x1990_0_0	Tense / 'highly strung'|x1990_0_0
x2000_0_0	Worry too long after embarrassment|x2000_0_0
x2010_0_0	Suffer from 'nerves'|x2010_0_0
x2020_0_0	Loneliness isolation|x2020_0_0
x2030_0_0	Guilty feelings|x2030_0_0
x2040_0_0	Risk taking|x2040_0_0
x2050_0_0	Frequency of depressed mood in last 2 weeks|x2050_0_0
x2060_0_0	Frequency of unenthusiasm / disinterest in last 2 weeks|x2060_0_0
x2070_0_0	Frequency of tenseness / restlessness in last 2 weeks|x2070_0_0
x2080_0_0	Frequency of tiredness / lethargy in last 2 weeks|x2080_0_0
x2090_0_0	Seen doctor (GP) for nerves anxiety tension or depression|x2090_0_0
x2100_0_0	Seen a psychiatrist for nerves anxiety tension or depression|x2100_0_0
x2110_0_0	Able to confide|x2110_0_0
x2129_0_0	Answered sexual history questions|x2129_0_0
x2139_0_0	Age first had sexual intercourse|x2139_0_0
x2149_0_0	Lifetime number of sexual partners|x2149_0_0
x2159_0_0	Ever had same-sex intercourse|x2159_0_0
x2178_0_0	Overall health rating|x2178_0_0
x2188_0_0	Long-standing illness disability or infirmity|x2188_0_0
x2207_0_0	Wears glasses or contact lenses|x2207_0_0
x2217_0_0	Age started wearing glasses or contact lenses|x2217_0_0
x2227_0_0	Other eye problems|x2227_0_0
x2237_0_0	Plays computer games|x2237_0_0
x2247_0_0	Hearing difficulty/problems|x2247_0_0
x2257_0_0	Hearing difficulty/problems with background noise|x2257_0_0
x2267_0_0	Use of sun/uv protection|x2267_0_0
x2277_0_0	Frequency of solarium/sunlamp use|x2277_0_0
x2296_0_0	Falls in the last year|x2296_0_0
x2306_0_0	Weight change compared with 1 year ago|x2306_0_0
x2316_0_0	Wheeze or whistling in the chest in last year|x2316_0_0
x2335_0_0	Chest pain or discomfort|x2335_0_0
x2345_0_0	Ever had bowel cancer screening|x2345_0_0
x2355_0_0	Most recent bowel cancer screening|x2355_0_0
x2365_0_0	Ever had prostate specific antigen (PSA) test|x2365_0_0
x2375_0_0	Relative age of first facial hair|x2375_0_0
x2385_0_0	Relative age voice broke|x2385_0_0
x2395_0_0	Hair/balding pattern|x2395_0_0
x2405_0_0	Number of children fathered|x2405_0_0
x2415_0_0	Had major operations|x2415_0_0
x2443_0_0	Diabetes diagnosed by doctor|x2443_0_0
x2453_0_0	Cancer diagnosed by doctor|x2453_0_0
x2463_0_0	Fractured/broken bones in last 5 years|x2463_0_0
x2473_0_0	Other serious medical condition/disability diagnosed by doctor|x2473_0_0
x2492_0_0	Taking other prescription medications|x2492_0_0
x2624_0_0	Frequency of heavy DIY in last 4 weeks|x2624_0_0
x2634_0_0	Duration of heavy DIY|x2634_0_0
x2644_0_0	Light smokers at least 100 smokes in lifetime|x2644_0_0
x2654_0_0	Non-butter spread type details|x2654_0_0
x2664_0_0	Reason for reducing amount of alcohol drunk|x2664_0_0
x2674_0_0	Ever had breast cancer screening / mammogram|x2674_0_0
x2684_0_0	Years since last breast cancer screening / mammogram|x2684_0_0
x2694_0_0	Ever had cervical smear test|x2694_0_0
x2704_0_0	Years since last cervical smear test|x2704_0_0
x2714_0_0	Age when periods started (menarche)|x2714_0_0
x2724_0_0	Had menopause|x2724_0_0
x2734_0_0	Number of live births|x2734_0_0
x2744_0_0	Birth weight of first child|x2744_0_0
x2754_0_0	Age at first live birth|x2754_0_0
x2764_0_0	Age at last live birth|x2764_0_0
x2774_0_0	Ever had stillbirth spontaneous miscarriage or termination|x2774_0_0
x2784_0_0	Ever taken oral contraceptive pill|x2784_0_0
x2794_0_0	Age started oral contraceptive pill|x2794_0_0
x2804_0_0	Age when last used oral contraceptive pill|x2804_0_0
x2814_0_0	Ever used hormone-replacement therapy (HRT)|x2814_0_0
x2824_0_0	Age at hysterectomy|x2824_0_0
x2834_0_0	Bilateral oophorectomy (both ovaries removed)|x2834_0_0
x2844_0_0	Had other major operations|x2844_0_0
x2867_0_0	Age started smoking in former smokers|x2867_0_0
x2877_0_0	Type of tobacco previously smoked|x2877_0_0
x2887_0_0	Number of cigarettes previously smoked daily|x2887_0_0
x2897_0_0	Age stopped smoking|x2897_0_0
x2907_0_0	Ever stopped smoking for 6+ months|x2907_0_0
x2926_0_0	Number of unsuccessful stop-smoking attempts|x2926_0_0
x2936_0_0	Likelihood of resuming smoking|x2936_0_0
x2946_0_0	Father's age|x2946_0_0
x2956_0_0	General pain for 3+ months|x2956_0_0
x2966_0_0	Age high blood pressure diagnosed|x2966_0_0
x2976_0_0	Age diabetes diagnosed|x2976_0_0
x2986_0_0	Started insulin within one year diagnosis of diabetes|x2986_0_0
x3005_0_0	Fracture resulting from simple fall|x3005_0_0
x3059_0_0	Result ranking|x3059_0_0
x3061_0_0	Acceptability of each blow result|x3061_0_0
x3062_0_0	Forced vital capacity (FVC)|x3062_0_0
x3063_0_0	Forced expiratory volume in 1-second (FEV1)|x3063_0_0
x3064_0_0	Peak expiratory flow (PEF)|x3064_0_0
x3065_0_0	Ordering of blows|x3065_0_0
x3077_0_0	Seating box height|x3077_0_0
x3079_0_0	Pace-maker|x3079_0_0
x3081_0_0	Foot measured for bone density|x3081_0_0
x3082_0_0	Fractured heel|x3082_0_0
x3083_0_0	Heel quantitative ultrasound index (QUI) manual entry|x3083_0_0
x3084_0_0	Heel bone mineral density (BMD) manual entry|x3084_0_0
x3085_0_0	Heel Broadband ultrasound attenuation (BUA) manual entry|x3085_0_0
x3086_0_0	Speed of sound through heel manual entry|x3086_0_0
x3088_0_0	Contra-indications for spirometry|x3088_0_0
x3089_0_0	Caffeine drink within last hour|x3089_0_0
x3090_0_0	Used an inhaler for chest within last hour|x3090_0_0
x3137_0_0	Number of measurements made|x3137_0_0
x3140_0_0	Pregnant|x3140_0_0
x3143_0_0	Ankle spacing width|x3143_0_0
x3144_0_0	Heel Broadband ultrasound attenuation direct entry|x3144_0_0
x3146_0_0	Speed of sound through heel|x3146_0_0
x3147_0_0	Heel quantitative ultrasound index (QUI) direct entry|x3147_0_0
x3148_0_0	Heel bone mineral density (BMD)|x3148_0_0
x3159_0_0	Smoked cigarette or pipe within last hour|x3159_0_0
x3160_0_0	Weight manual entry|x3160_0_0
x3393_0_0	Hearing aid user|x3393_0_0
x3404_0_0	Neck/shoulder pain for 3+ months|x3404_0_0
x3414_0_0	Hip pain for 3+ months|x3414_0_0
x3426_0_0	Job involves night shift work|x3426_0_0
x3436_0_0	Age started smoking in current smokers|x3436_0_0
x3446_0_0	Type of tobacco currently smoked|x3446_0_0
x3456_0_0	Number of cigarettes currently smoked daily (current cigarette smokers)|x3456_0_0
x3466_0_0	Time from waking to first cigarette|x3466_0_0
x3476_0_0	Difficulty not smoking for 1 day|x3476_0_0
x3486_0_0	Ever tried to stop smoking|x3486_0_0
x3496_0_0	Wants to stop smoking|x3496_0_0
x3506_0_0	Smoking compared to 10 years previous|x3506_0_0
x3526_0_0	Mother's age at death|x3526_0_0
x3536_0_0	Age started hormone-replacement therapy (HRT)|x3536_0_0
x3546_0_0	Age last used hormone-replacement therapy (HRT)|x3546_0_0
x3571_0_0	Back pain for 3+ months|x3571_0_0
x3581_0_0	Age at menopause (last menstrual period)|x3581_0_0
x3591_0_0	Ever had hysterectomy (womb removed)|x3591_0_0
x3606_0_0	Chest pain or discomfort walking normally|x3606_0_0
x3616_0_0	Chest pain due to walking ceases when standing still|x3616_0_0
x3627_0_0	Age angina diagnosed|x3627_0_0
x3637_0_0	Frequency of other exercises in last 4 weeks|x3637_0_0
x3647_0_0	Duration of other exercises|x3647_0_0
x3659_0_0	Year immigrated to UK (United Kingdom)|x3659_0_0
x3669_0_0	Lifetime number of same-sex sexual partners|x3669_0_0
x3680_0_0	Age when last ate meat|x3680_0_0
x3700_0_0	Time since last menstrual period|x3700_0_0
x3710_0_0	Length of menstrual cycle|x3710_0_0
x3720_0_0	Menstruating today|x3720_0_0
x3731_0_0	Former alcohol drinker|x3731_0_0
x3741_0_0	Stomach/abdominal pain for 3+ months|x3741_0_0
x3751_0_0	Chest pain or discomfort when walking uphill or hurrying|x3751_0_0
x3761_0_0	Age hay fever rhinitis or eczema diagnosed|x3761_0_0
x3773_0_0	Knee pain for 3+ months|x3773_0_0
x3786_0_0	Age asthma diagnosed|x3786_0_0
x3799_0_0	Headaches for 3+ months|x3799_0_0
x3809_0_0	Time since last prostate specific antigen (PSA) test|x3809_0_0
x3829_0_0	Number of stillbirths|x3829_0_0
x3839_0_0	Number of spontaneous miscarriages|x3839_0_0
x3849_0_0	Number of pregnancy terminations|x3849_0_0
x3859_0_0	Reason former drinker stopped drinking alcohol|x3859_0_0
x3872_0_0	Age of primiparous women at birth of child|x3872_0_0
x3882_0_0	Age at bilateral oophorectomy (both ovaries removed)|x3882_0_0
x3894_0_0	Age heart attack diagnosed|x3894_0_0
x3912_0_0	Adopted father still alive|x3912_0_0
x3942_0_0	Adopted mother still alive|x3942_0_0
x3972_0_0	Number of adopted brothers|x3972_0_0
x3982_0_0	Number of adopted sisters|x3982_0_0
x3992_0_0	Age emphysema/chronic bronchitis diagnosed|x3992_0_0
x4012_0_0	Age deep-vein thrombosis (DVT blood clot in leg) diagnosed|x4012_0_0
x4022_0_0	Age pulmonary embolism (blood clot in lung) diagnosed|x4022_0_0
x4041_0_0	Gestational diabetes only|x4041_0_0
x4056_0_0	Age stroke diagnosed|x4056_0_0
x4067_0_0	Facial pains for 3+ months|x4067_0_0
x4079_0_0	Diastolic blood pressure automated reading|x4079_0_0
x4080_0_0	Systolic blood pressure automated reading|x4080_0_0
x4081_0_0	Method of measuring blood pressure|x4081_0_0
x4092_0_0	Heel ultrasound method (left)|x4092_0_0
x4093_0_0	Fractured heel (left)|x4093_0_0
x4095_0_0	Heel ultrasound method (right)|x4095_0_0
x4096_0_0	Fractured heel (right)|x4096_0_0
x4100_0_0	Ankle spacing width (left)|x4100_0_0
x4101_0_0	Heel broadband ultrasound attenuation (left)|x4101_0_0
x4103_0_0	Speed of sound through heel (left)|x4103_0_0
x4104_0_0	Heel quantitative ultrasound index (QUI) direct entry (left)|x4104_0_0
x4105_0_0	Heel bone mineral density (BMD) (left)|x4105_0_0
x4106_0_0	Heel bone mineral density (BMD) T-score automated (left)|x4106_0_0
x4119_0_0	Ankle spacing width (right)|x4119_0_0
x4120_0_0	Heel broadband ultrasound attenuation (right)|x4120_0_0
x4122_0_0	Speed of sound through heel (right)|x4122_0_0
x4123_0_0	Heel quantitative ultrasound index (QUI) direct entry (right)|x4123_0_0
x4124_0_0	Heel bone mineral density (BMD) (right)|x4124_0_0
x4125_0_0	Heel bone mineral density (BMD) T-score automated (right)|x4125_0_0
x4138_0_0	Heel bone mineral density (BMD) T-score manual entry (left)|x4138_0_0
x4139_0_0	Heel quantitative ultrasound index (QUI) manual entry (left)|x4139_0_0
x4140_0_0	Heel bone mineral density (BMD) manual entry (left)|x4140_0_0
x4141_0_0	Heel broadband ultrasound attenuation (BUA) manual entry (left)|x4141_0_0
x4142_0_0	Speed of sound through heel manual entry (left)|x4142_0_0
x4143_0_0	Heel bone mineral density (BMD) T-score manual entry (right)|x4143_0_0
x4144_0_0	Heel quantitative ultrasound index (QUI) manual entry (right)|x4144_0_0
x4145_0_0	Heel bone mineral density (BMD) manual entry (right)|x4145_0_0
x4146_0_0	Heel broadband ultrasound attenuation (BUA) manual entry (right)|x4146_0_0
x4147_0_0	Speed of sound through heel manual entry (right)|x4147_0_0
x4186_0_0	Stiffness method|x4186_0_0
x4194_0_0	Pulse rate|x4194_0_0
x4195_0_0	Pulse wave reflection index|x4195_0_0
x4196_0_0	Pulse wave peak to peak time|x4196_0_0
x4198_0_0	Position of the pulse wave peak|x4198_0_0
x4199_0_0	Position of pulse wave notch|x4199_0_0
x4200_0_0	Position of the shoulder on the pulse waveform|x4200_0_0
x4204_0_0	Absence of notch position in the pulse waveform|x4204_0_0
x4207_0_0	Pulse wave velocity (manual entry)|x4207_0_0
x4230_0_0	Signal-to-noise-ratio (SNR) of triplet (left)|x4230_0_0
x4232_0_0	Triplet correct (left)|x4232_0_0
x4233_0_0	Mean signal-to-noise ratio (SNR) (left)|x4233_0_0
x4234_0_0	Time to press first digit (left)|x4234_0_0
x4235_0_0	Time to press last digit (left)|x4235_0_0
x4237_0_0	Time to press 'next' (left)|x4237_0_0
x4239_0_0	Number of times 'clear' was pressed (left)|x4239_0_0
x4241_0_0	Signal-to-noise-ratio (SNR) of triplet (right)|x4241_0_0
x4243_0_0	Triplet correct (right)|x4243_0_0
x4244_0_0	Mean signal-to-noise ratio (SNR) (right)|x4244_0_0
x4245_0_0	Time to press first digit (right)|x4245_0_0
x4246_0_0	Time to press last digit (right)|x4246_0_0
x4247_0_0	Time to press 'next' (right)|x4247_0_0
x4249_0_0	Number of times 'clear' was pressed (right)|x4249_0_0
x4250_0_0	Number of digits to be memorised/recalled|x4250_0_0
x4253_0_0	Time number displayed for|x4253_0_0
x4254_0_0	Time first key touched|x4254_0_0
x4255_0_0	Time last key touched|x4255_0_0
x4256_0_0	Time elapsed|x4256_0_0
x4259_0_0	Digits entered correctly|x4259_0_0
x4260_0_0	Round of numeric memory test|x4260_0_0
x4268_0_0	Completion status (left)|x4268_0_0
x4269_0_0	Number of triplets attempted (left)|x4269_0_0
x4270_0_0	Volume level set by participant (left)|x4270_0_0
x4272_0_0	Duration of hearing test (left)|x4272_0_0
x4275_0_0	Completion status (right)|x4275_0_0
x4276_0_0	Number of triplets attempted (right)|x4276_0_0
x4277_0_0	Volume level set by participant (right)|x4277_0_0
x4279_0_0	Duration of hearing test (right)|x4279_0_0
x4281_0_0	Completion status of numeric memory test|x4281_0_0
x4282_0_0	Maximum digits remembered correctly|x4282_0_0
x4283_0_0	Number of rounds of numeric memory test performed|x4283_0_0
x4285_0_0	Time to complete test|x4285_0_0
x4287_0_0	Test completion status|x4287_0_0
x4288_0_0	Time to answer|x4288_0_0
x4290_0_0	Duration screen displayed|x4290_0_0
x4291_0_0	Number of attempts|x4291_0_0
x4292_0_0	PM: initial answer|x4292_0_0
x4293_0_0	PM: final answer|x4293_0_0
x4294_0_0	Final attempt correct|x4294_0_0
x4407_0_0	Average monthly red wine intake|x4407_0_0
x4418_0_0	Average monthly champagne plus white wine intake|x4418_0_0
x4429_0_0	Average monthly beer plus cider intake|x4429_0_0
x4440_0_0	Average monthly spirits intake|x4440_0_0
x4451_0_0	Average monthly fortified wine intake|x4451_0_0
x4462_0_0	Average monthly intake of other alcoholic drinks|x4462_0_0
x4501_0_0	Non-accidental death in close genetic family|x4501_0_0
x4526_0_0	Happiness|x4526_0_0
x4537_0_0	Work/job satisfaction|x4537_0_0
x4548_0_0	Health satisfaction|x4548_0_0
x4559_0_0	Family relationship satisfaction|x4559_0_0
x4570_0_0	Friendships satisfaction|x4570_0_0
x4581_0_0	Financial situation satisfaction|x4581_0_0
x4598_0_0	Ever depressed for a whole week|x4598_0_0
x4609_0_0	Longest period of depression|x4609_0_0
x4620_0_0	Number of depression episodes|x4620_0_0
x4631_0_0	Ever unenthusiastic/disinterested for a whole week|x4631_0_0
x4642_0_0	Ever manic/hyper for 2 days|x4642_0_0
x4653_0_0	Ever highly irritable/argumentative for 2 days|x4653_0_0
x4674_0_0	Private healthcare|x4674_0_0
x4689_0_0	Age glaucoma diagnosed|x4689_0_0
x4700_0_0	Age cataract diagnosed|x4700_0_0
x4717_0_0	Shortness of breath walking on level ground|x4717_0_0
x4728_0_0	Leg pain on walking|x4728_0_0
x4792_0_0	Cochlear implant|x4792_0_0
x4803_0_0	Tinnitus|x4803_0_0
x4814_0_0	Tinnitus severity/nuisance|x4814_0_0
x4825_0_0	Noisy workplace|x4825_0_0
x4836_0_0	Loud music exposure frequency|x4836_0_0
x4849_0_0	Hearing test done|x4849_0_0
x4924_0_0	Attempted fluid intelligence (FI) test.|x4924_0_0
x4935_0_0	FI1 : numeric addition test|x4935_0_0
x4946_0_0	FI2 : identify largest number|x4946_0_0
x4957_0_0	FI3 : word interpolation|x4957_0_0
x4968_0_0	FI4 : positional arithmetic|x4968_0_0
x4979_0_0	FI5 : family relationship calculation|x4979_0_0
x4990_0_0	FI6 : conditional arithmetic|x4990_0_0
x5001_0_0	FI7 : synonym|x5001_0_0
x5012_0_0	FI8 : chained arithmetic|x5012_0_0
x5057_0_0	Number of older siblings|x5057_0_0
x5074_0_0	Number of letters shown in round (left)|x5074_0_0
x5075_0_0	Number of letters shown in round (right)|x5075_0_0
x5076_0_0	Number of letters correct in round (right)|x5076_0_0
x5077_0_0	Number of letters correct in round (left)|x5077_0_0
x5078_0_0	logMAR in round (left)|x5078_0_0
x5079_0_0	logMAR in round (right)|x5079_0_0
x5084_0_0	Spherical power (right)|x5084_0_0
x5085_0_0	Spherical power (left)|x5085_0_0
x5086_0_0	Cylindrical power (left)|x5086_0_0
x5087_0_0	Cylindrical power (right)|x5087_0_0
x5088_0_0	Astigmatism angle (right)|x5088_0_0
x5089_0_0	Astigmatism angle (left)|x5089_0_0
x5090_0_0	Refractometry result unreliable (left)|x5090_0_0
x5091_0_0	Refractometry result unreliable (right)|x5091_0_0
x5096_0_0	3mm weak meridian (left)|x5096_0_0
x5097_0_0	6mm weak meridian (left)|x5097_0_0
x5098_0_0	6mm weak meridian (right)|x5098_0_0
x5099_0_0	3mm weak meridian (right)|x5099_0_0
x5100_0_0	3mm weak meridian angle (right)|x5100_0_0
x5101_0_0	6mm weak meridian angle (right)|x5101_0_0
x5102_0_0	6mm weak meridian angle (left)|x5102_0_0
x5103_0_0	3mm weak meridian angle (left)|x5103_0_0
x5104_0_0	3mm strong meridian angle (left)|x5104_0_0
x5105_0_0	6mm strong meridian angle (left)|x5105_0_0
x5106_0_0	6mm strong meridian angle (right)|x5106_0_0
x5107_0_0	3mm strong meridian angle (right)|x5107_0_0
x5108_0_0	3mm asymmetry angle (right)|x5108_0_0
x5109_0_0	6mm asymmetry angle (right)|x5109_0_0
x5110_0_0	6mm asymmetry angle (left)|x5110_0_0
x5111_0_0	3mm asymmetry angle (left)|x5111_0_0
x5112_0_0	3mm cylindrical power angle (left)|x5112_0_0
x5113_0_0	6mm cylindrical power angle (left)|x5113_0_0
x5114_0_0	6mm cylindrical power angle (right)|x5114_0_0
x5115_0_0	3mm cylindrical power angle (right)|x5115_0_0
x5116_0_0	3mm cylindrical power (right)|x5116_0_0
x5117_0_0	6mm cylindrical power (right)|x5117_0_0
x5118_0_0	6mm cylindrical power (left)|x5118_0_0
x5119_0_0	3mm cylindrical power (left)|x5119_0_0
x5132_0_0	3mm strong meridian (right)|x5132_0_0
x5133_0_0	6mm strong meridian (right)|x5133_0_0
x5134_0_0	6mm strong meridian (left)|x5134_0_0
x5135_0_0	3mm strong meridian (left)|x5135_0_0
x5136_0_0	3mm keratometry result unreliable (left)|x5136_0_0
x5138_0_0	6mm keratometry result unreliable (left)|x5138_0_0
